feature,task_count,max_CSDS,mean_CSDS,max_selection_frequency,min_q_value
transport_margin,3,0.47621701773422054,0.3011679084714141,1.0,0.027777777777777776
frac_D_to_R,3,0.1325356402719439,0.08296489435181038,1.0,0.027777777777777776
E_D_to_R,3,0.12026516577733605,0.09060073147270482,1.0,0.027777777777777776
transport_min_distance,3,0.11517784640446198,0.04300037156859369,0.75,0.027777777777777776
energy_margin,3,0.10381129963154873,0.050547944534870305,1.0,0.027777777777777776
frac_D_to_C,3,0.09614019904498233,0.04362640038996984,1.0,0.05128205128205128
E_R_to_C,3,0.08615382795193198,0.046753832161101405,1.0,0.027777777777777776
E_D_to_C,3,0.08249848750095098,0.050104459392346236,0.925,0.02898550724637681
SRIS,3,0.07643423252860528,0.03261355341102345,0.85,0.027777777777777776
frac_R_to_C,3,0.00045046324612180866,0.0002417327348101483,0.075,0.2
p_sheaf__G4,2,0.5639425913503273,0.5350985026992516,1.0,0.02898550724637681
E_D_to_R__G4,2,0.3174917964634205,0.283106852933178,1.0,0.02898550724637681
E_D_to_C__G4,2,0.0366709035085764,0.01842944601321768,0.9,0.3707664884135472
E_R_to_C__G4,2,3.5801454269607965e-05,1.7900727134803982e-05,0.075,0.8235294117647058
E_total__G4,2,0.0,0.0,0.0,0.02898550724637681
bio_dist_to__1,1,0.6123403914677998,0.6123403914677998,1.0,0.0463458110516934
bio_dist_to__IDHmut-non-codel,1,0.6028290656764461,0.6028290656764461,1.0,0.027777777777777776
bio_dist_to__G4,1,0.597669523858001,0.597669523858001,1.0,0.02898550724637681
p_sheaf__G2G3,1,0.5639425913503273,0.5639425913503273,1.0,0.0463458110516934
p_sheaf__IDHwt,1,0.5026417082501038,0.5026417082501038,0.975,0.027777777777777776
bio_dist_to__0,1,0.4726729772346481,0.4726729772346481,1.0,0.0463458110516934
bio_dist_to__G3,1,0.37183940457761466,0.37183940457761466,1.0,0.02898550724637681
p_sheaf__IDHmut-codel,1,0.3579006301871684,0.3579006301871684,1.0,0.027777777777777776
p_sheaf__IDHmut-non-codel,1,0.3225670200730579,0.3225670200730579,1.0,0.027777777777777776
bio_dist_to__G2,1,0.3104343487908769,0.3104343487908769,1.0,0.02898550724637681
p_sheaf__G2,1,0.2691166233744255,0.2691166233744255,0.625,0.02898550724637681
E_D_to_R__IDHwt,1,0.23405681275122284,0.23405681275122284,1.0,0.027777777777777776
transport_dist_to__G4,1,0.22449360321378461,0.22449360321378461,0.95,0.02898550724637681
transport_dist_to__1,1,0.2219636592200995,0.2219636592200995,0.725,0.0463458110516934
E_D_to_R__IDHmut-codel,1,0.16149672209548763,0.16149672209548763,1.0,0.027777777777777776
E_D_to_R__IDHmut-non-codel,1,0.11589886198852202,0.11589886198852202,0.475,0.027777777777777776
bio_dist_to__IDHwt,1,0.06725786705450801,0.06725786705450801,0.2,0.027777777777777776
bio_dist_to__IDHmut-codel,1,0.06654298360261036,0.06654298360261036,0.975,0.027777777777777776
transport_dist_to__IDHmut-codel,1,0.05814649109621733,0.05814649109621733,0.85,0.027777777777777776
sheaf_dist_to__G3,1,0.037153625653016505,0.037153625653016505,0.325,0.02898550724637681
transport_dist_to__IDHmut-non-codel,1,0.03684525084931904,0.03684525084931904,0.075,0.027777777777777776
E_D_to_C__G2,1,0.030493816433937622,0.030493816433937622,0.275,0.02898550724637681
sheaf_dist_to__IDHmut-non-codel,1,0.029889204566527505,0.029889204566527505,1.0,0.09523809523809523
E_D_to_R__G2G3,1,0.029228578692658477,0.029228578692658477,0.35,0.13594771241830064
p_sheaf__G3,1,0.027245230978486835,0.027245230978486835,0.75,0.09876543209876543
transport_dist_to__G3,1,0.026080508023358213,0.026080508023358213,0.25,0.02898550724637681
E_D_to_C__IDHmut-non-codel,1,0.017872049094448356,0.017872049094448356,0.25,0.027777777777777776
E_R_to_C__G2,1,0.01675328361786434,0.01675328361786434,0.25,0.02898550724637681
transport_dist_to__G2,1,0.007306364639050955,0.007306364639050955,0.05,0.02898550724637681
E_R_to_C__G2G3,1,0.0041593864877616646,0.0041593864877616646,0.125,0.30588235294117644
E_total__G2G3,1,0.003670646588815136,0.003670646588815136,0.05,0.17993079584775085
E_total__IDHmut-codel,1,0.0030453180026161182,0.0030453180026161182,0.025,0.027777777777777776
E_D_to_R__G3,1,0.002981952816635092,0.002981952816635092,0.225,0.21505376344086022
sheaf_dist_to__G4,1,0.00281593309906916,0.00281593309906916,0.025,0.02898550724637681
E_total__G2,1,0.002725536190306032,0.002725536190306032,0.025,0.02898550724637681
sheaf_dist_to__G2,1,0.0023521136184014224,0.0023521136184014224,0.2,0.1839080459770115
E_total__IDHmut-non-codel,1,0.002010877285760134,0.002010877285760134,0.025,0.027777777777777776
sheaf_dist_to__IDHmut-codel,1,0.0019142693518009288,0.0019142693518009288,0.075,0.07407407407407407
E_D_to_C__IDHwt,1,0.001253775418620413,0.001253775418620413,0.6,0.5882352941176471
E_R_to_C__IDHwt,1,0.0012433331045271841,0.0012433331045271841,0.225,0.39583333333333337
E_R_to_C__G3,1,0.0008153207988695275,0.0008153207988695275,0.275,0.39583333333333337
E_D_to_C__G2G3,1,0.0,0.0,0.0,0.22657952069716775
E_D_to_C__G3,1,0.0,0.0,0.0,0.14285714285714285
E_D_to_C__IDHmut-codel,1,0.0,0.0,0.0,0.027777777777777776
E_D_to_R__G2,1,0.0,0.0,0.0,0.02898550724637681
E_R_to_C__IDHmut-codel,1,0.0,0.0,0.0,0.13793103448275862
E_R_to_C__IDHmut-non-codel,1,0.0,0.0,0.0,0.505050505050505
E_total__G3,1,0.0,0.0,0.0,0.08
E_total__IDHwt,1,0.0,0.0,0.0,0.027777777777777776
sheaf_dist_to__0,1,0.0,0.0,0.0,0.9803921568627451
sheaf_dist_to__1,1,0.0,0.0,0.0,0.42483660130718953
sheaf_dist_to__IDHwt,1,0.0,0.0,0.0,0.05128205128205128
transport_dist_to__0,1,0.0,0.0,0.0,0.0463458110516934
transport_dist_to__IDHwt,1,0.0,0.0,0.0,0.027777777777777776
