residual_id,residual_type,sign,biological_meaning,expected_subtype_signature,clinical_decision_support_relevance,confidence,evidence_citation,pmid,notes
R001,r_D_to_R (DNA->Regulatory edge residual),high_positive,Genomic state predicts MORE aggressive regulatory state than observed; DNA panel looks driver-rich but transcriptome appears calmer,Possible early/treatment-responsive state or sampling bias toward less aggressive tumor region,Flag for spatial heterogeneity assessment; bulk transcriptome may miss aggressive subclones,medium,Sottoriva 2013 PNAS (spatial heterogeneity),24014595,Intratumoral heterogeneity is well documented in glioma
R002,r_D_to_R,high_negative,Regulatory state predicts MORE aggressive than DNA suggests; transcriptome hot with quiet driver panel,Possible non-genetic / epigenetic / microenvironment-driven aggressiveness,Flag for methylation profiling and microenvironment characterization,medium,Suva 2019 Cell (non-genetic plasticity),31002795,
R003,r_D_to_R,low,Genomic and regulatory states are consistent (canonical biology),Stereotyped molecular subtype: IDHwt GBM with EGFR amp + Chr7/10 + classical transcriptome; or canonical IDHmut codel,Lower interpretive uncertainty; standard prognostic frameworks apply,high,Verhaak 2010 Cancer Cell; Ceccarelli 2016 Cell,20129251; 26771574,Most common case in canonical IDHwt GBM and IDHmut-codel
R004,r_D_to_C (DNA->Clinical edge residual),high_positive,Genomic state predicts WORSE clinical grade than observed,Grade 2/3 IDHmut-noncodel that has not yet progressed; or favorable host factors,Watch closely for grade progression; consider closer imaging surveillance,medium,TCGA glioma 2015 NEJM (progression patterns),26061751,Common in early IDHmut-noncodel astrocytomas before high-grade transformation
R005,r_D_to_C,high_negative,Clinical grade is WORSE than genomic state predicts (low-driver-load high-grade tumor),Possible occult driver not captured by panel (e.g. H3 K27M-like) or microenvironment-driven aggressiveness,Flag for extended molecular workup including DNA methylation profiling and methylation-based classification,medium,Sturm 2012 Cancer Cell,22980975,May indicate alterations outside standard glioma panel
R006,r_D_to_C,low,Genomic and clinical states agree,Canonical presentation,Standard clinical management appropriate,high,,,
R007,r_R_to_C (Regulatory->Clinical edge residual),high_positive,Regulatory state predicts WORSE clinical state than observed; aggressive transcriptome with lower observed grade,Tumor shows aggressive transcriptome (e.g. mesenchymal program) but lower observed histologic grade,Watch for histologic progression; aggressive transcriptional features predict transformation,high,Wang 2017 Cancer Cell (mesenchymal transition with progression),28697342,Mesenchymal shift often precedes clinical progression
R008,r_R_to_C,high_negative,Clinical state is WORSE than regulatory state predicts,Possible sampling issue or transcriptomically quiescent high-grade tumor,Consider re-sampling; review pathology for diagnostic concordance,medium,,,
R009,r_R_to_C,low,Regulatory and clinical states agree,Canonical presentation,Standard frameworks apply,high,,,
R010,SRIS (overall patient inconsistency),high,Patient shows substantial cross-modal regulatory inconsistency across multiple edges,Atypical / non-canonical glioma molecular pattern; may be intermediate between subtypes,Candidate for molecular tumor board review; standard prognostic models may not apply,high,Ceccarelli 2016 Cell (atypical patterns),26771574,
R011,SRIS,low,Patient fits canonical regulatory geometry,Canonical IDHmut-codel / IDHmut-noncodel / IDHwt GBM presentation,Standard subtype-based prognosis appropriate,high,Ceccarelli 2016 Cell,26771574,
R012,E_g_IDHwt (counterfactual energy under IDHwt sheaf),lower_than_other_groups,Patient looks most consistent under IDH-wildtype geometry,Aligns with IDHwt GBM molecular subtype,Confirms IDHwt categorization; standard IDHwt treatment paradigm,high,Phase 4 counterfactual analysis,,
R013,E_g_IDHmut_codel,lower_than_other_groups,Patient looks most consistent under IDHmut-codel geometry,Aligns with oligodendroglioma,Confirms IDHmut-codel categorization; favorable prognosis subtype,high,Phase 4 counterfactual analysis,,
R014,E_g_IDHmut_noncodel,lower_than_other_groups,Patient looks most consistent under IDHmut-noncodel geometry,Aligns with IDHmut astrocytoma,Confirms IDHmut-noncodel categorization; assess for CDKN2A status for grading,high,Phase 4 counterfactual; Shirahata 2018 Acta Neuropathol,30143891,
R015,E_g_ambiguous (no clear minimum),ambiguous,No subtype-specific sheaf cleanly fits the patient,Possible intermediate / transitioning tumor; atypical molecular profile,Flag for molecular tumor board; consider methylation classification (DKFZ classifier),medium,Capper 2018 Nature,29539639,
R016,PLIS_RTK_RAS_PI3K_pathway (pathway-local inconsistency),high,Pathway-local inconsistency in RTK/RAS/PI3K signaling axis,Possible occult or non-canonical RTK pathway activation; aggressive EGFR-driven biology with apparent normal panel,Flag for extended sequencing of RTK pathway (EGFR full panel + EGFRvIII; PIK3CA hot-spot; PTEN promoter methylation),high,Brennan 2013 Cell,24120142,Most actionable in IDHwt GBM
R017,PLIS_p53_pathway,high,Pathway-local inconsistency in p53 axis,Possible MDM2/MDM4 amplification or p14ARF loss not captured by point-mutation panel,Confirm p53 functional status; consider CDKN2A/B FISH or methylation analysis,high,Brennan 2013 Cell,24120142,
R018,PLIS_RB1_pathway,high,Pathway-local inconsistency in cell cycle / RB1 axis,Possible CDK4/CDK6 amplification or CDKN2A homozygous deletion missed by panel,Confirm CDKN2A/B status (FISH or sequencing); now WHO 2021 high-grade IDHmut criterion,high,Shirahata 2018 Acta Neuropathol; WHO 2021,30143891; 34185076,Practically actionable
R019,PLIS_Telomere_maintenance_pathway,high,Pathway-local inconsistency in telomere maintenance,Possible co-occurrence of TERT and ATRX-ALT mechanisms or absence of standard mechanism,Test for ALT phenotype by C-circle / FISH assay; sequence TERT promoter hot-spots,medium,Heaphy 2011 Science,21719641,
R020,PLIS_MGMT_DNA_repair_pathway,high,Inconsistency in MGMT / DNA repair axis,Possible discordance between MGMT methylation status and expression / repair capacity,Validate MGMT methylation by methylation-specific PCR; consider MGMT IHC,high,Hegi 2005 NEJM,15758010,Practically actionable for TMZ response prediction
R021,PLIS_Chromatin_remodeling_pathway,high,Inconsistency in chromatin remodeling axis,Possible H3K27M or H3G34 mutation in adult cohort (rare but consequential),Flag for H3 K27M / G34 testing; methylation-based classification,low_to_medium,Sturm 2012 Cancer Cell,22980975,Pediatric-typical; rare in adult
R022,PLIS_Mesenchymal_transcription_program,high,Inconsistency in mesenchymal axis,Mesenchymal transition without classical NF1 loss; non-canonical MES drive,Flag for immune microenvironment characterization and STAT3 pathway analysis,medium,Wang 2017 Cancer Cell,28697342,Mesenchymal state can be induced by therapy
R023,PLIS_IDH_2HG_metabolism,high,Pathway-local inconsistency in IDH/2-HG metabolic axis,Possible IDH variant outside R132H/R172 or canonical mutation with atypical downstream methylation,Confirm IDH variant by sequencing; assess G-CIMP status,medium,Yan 2009 NEJM,19228619,
R024,Transport_residual_TCGA_to_CGGA (Math 2),large,Patient signature falls in low-transport-mass region across cohorts,Cohort-atypical regulatory pattern; predictive model may not transfer well for this patient,Lower confidence in cross-cohort generalization for this patient; flag in clinical-decision pipelines,medium,Math 2 transport analysis (this project),,Per-patient external generalization confidence
R025,Transport_residual,small,Patient signature is well-aligned across cohorts,Cohort-typical regulatory pattern,Standard cross-cohort confidence,medium,,,
R026,Reliability_index (Phase 6 SDI),high,Patient features show strong consensus across discovery procedures,Stable; reproducible inconsistency profile,Higher confidence in flagged inconsistencies,medium,Phase 6 consensus discovery,,
R027,Reliability_index (Phase 6 SDI),low,Patient features show weak consensus across discovery procedures,Unstable / borderline inconsistency profile,Lower confidence; require independent validation,medium,Phase 6 consensus discovery,,
R028,Combined high SRIS + high ESTIMATE_immune,joint_pattern,High inconsistency co-occurs with high immune infiltration,Likely Mesenchymal GBM with active immune microenvironment,Candidate for immunotherapy trial enrollment (within decision-support framing),medium,Wang 2017 Cancer Cell,28697342,Still investigational; not standard
R029,Combined high SRIS + high genomic instability,joint_pattern,Inconsistency co-occurs with high genomic chaos,Possibly hypermutator (MMR loss) or POLE-mutant tumor (rare in glioma),Flag for MMR / POLE testing; potential pembrolizumab eligibility,medium,Touat 2020 Nature,32322066,Hypermutated glioma can respond to immune checkpoint blockade
R030,Cross-cohort transport stability OTStable(e) low for edge e,unstable,Edge e residual channel is the one that drifts most between TCGA and CGGA,Channel-specific platform / population effect; patient-level evidence weak on this edge,Down-weight evidence from this edge in cross-cohort decision support,high,Math 2 transport analysis,,Methodologically important caveat
